Код БТИ;Улица;Дом;Нет информации на вкладе ТЭ;Раздвоение во вкладке ТЭ;Колич. этажей < 1;Колич. парадных < 1;Колич. квартир < 1;Общ. площадь < 50;Отаплив. площадь < 50;Жил. площадь < 50;Общ. площадь < Отаплив. площади;Общ. площадь не = (жил. + нежил.)
129658;'САДОВАЯ ул.';102;;;;;;;;;;Да
129659;'САДОВАЯ ул.';103;;;;;;;;;;Да
129660;'САДОВАЯ ул.';105;;;;;;;;;;Да
129661;'САДОВАЯ ул.';106;;;;;;;;;;Да
129662;'САДОВАЯ ул.';107;;;;;;;;;;Да
129663;'САДОВАЯ ул.';109;;;;;;;;;;Да
129664;'САДОВАЯ ул.';'111-113';;;;;;;;;;Да
129665;'САДОВАЯ ул.';'112-114';;;;;;;;;;Да
129667;'САДОВАЯ ул.';115;;;;;;;;;;Да
129668;'САДОВАЯ ул.';116;;;;;;;;;;Да
129670;'САДОВАЯ ул.';117;;;;;;;;;;Да
129674;'САДОВАЯ ул.';120;;;;;;;;;;Да
129678;'САДОВАЯ ул.';124;;;;;;;;;;Да
129679;'САДОВАЯ ул.';125;;;;;;;;;;Да
129680;'САДОВАЯ ул.';125;;;;;;;;;;Да
129684;'САДОВАЯ ул.';129;;;;;;;;;;Да
129685;'САДОВАЯ ул.';'64/21';;;;;Да;;Да;Да;;
129686;'САДОВАЯ ул.';66;;;;;;;;;;Да
129687;'САДОВАЯ ул.';68;;;;;;;;;;Да
129688;'САДОВАЯ ул.';69;;;;;;;;;;Да
129689;'САДОВАЯ ул.';70;;;;;;;;;;Да
129690;'САДОВАЯ ул.';71;;;;;;;;;;Да
129692;'САДОВАЯ ул.';76;;;;;;;;;;Да
129693;'САДОВАЯ ул.';77;;;;;;;;;;Да
129694;'САДОВАЯ ул.';78;;;;;;;;;;Да
129695;'САДОВАЯ ул.';80;;;;;;;;;;Да
129696;'САДОВАЯ ул.';81;;;;;;;;;;Да
129697;'САДОВАЯ ул.';82;;;;;;;;;;Да
129698;'САДОВАЯ ул.';82;;;;;;;;;;Да
129699;'САДОВАЯ ул.';83;;;;;;;;;;Да
129701;'САДОВАЯ ул.';84;;;;;;;;;;Да
129703;'САДОВАЯ ул.';85;;;;;;;;;;Да
129705;'САДОВАЯ ул.';89;;;;;;;;;;Да
129706;'САДОВАЯ ул.';90;;;;;;;;;;Да
129707;'САДОВАЯ ул.';91;;;;;;;;;;Да
129708;'САДОВАЯ ул.';92;;;;;;;;;;Да
129709;'САДОВАЯ ул.';94;;;;;;;;;;Да
129711;'САДОВАЯ ул.';95;;;;;;;;;;Да
129712;'САДОВАЯ ул.';96;;;;;;;;;;Да
129713;'САДОВАЯ ул.';97;;;;;;;;;;Да
129714;'САДОВАЯ ул.';99;;;;;;;;;;Да
'01-0248';'Серпуховская ул.';12;;;;;;;;;;Да
'01-0249';'Серпуховская ул.';14;;;;;;;;;;Да
'01-0250';'Серпуховская ул.';16;;;;;;;;;;Да
'01-0251';'Серпуховская ул.';17;;;;;;;;;;Да
'01-0252';'Серпуховская ул.';20;;;;;;;;;;Да
'01-0253';'Серпуховская ул.';'21/20';;;;;;;;;;Да
'01-0254';'Серпуховская ул.';'22-24';;;;;;;;;;Да
'01-0255';'Серпуховская ул.';23;;;;;;;;;;Да
'01-0256';'Серпуховская ул.';23;;;;;;;;;;Да
'01-0257';'Серпуховская ул.';25;;;;;;;;;;Да
'01-0258';'Серпуховская ул.';26;;;;;;;;;;Да
'01-0259';'Серпуховская ул.';28;;;;;;;;;;Да
'01-0240';'Серпуховская ул.';3;;;;;;;;;;Да
'01-0260';'Серпуховская ул.';'30/29';;;;;;;;;;Да
'01-0261';'Серпуховская ул.';'30/29';;;;;;;;;;Да
'01-0262';'Серпуховская ул.';31;;;;;;;;;;Да
'01-0263';'Серпуховская ул.';32;;;;;;;;;;Да
'01-0241';'Серпуховская ул.';4;;;;;;;;;;Да
'01-0264';'Серпуховская ул.';42;;;;;;;;;;Да
'01-0265';'Серпуховская ул.';43;;;;;;;;;;Да
'01-0266';'Серпуховская ул.';'44-46';;;;;;;;;;Да
'01-0267';'Серпуховская ул.';'48/113';;;;;;;;;;Да
'01-0242';'Серпуховская ул.';5;;;;;;;;;;Да
'01-0243';'Серпуховская ул.';6;;;;;;;;;;Да
'01-0244';'Серпуховская ул.';7;;;;;;;;;;Да
'01-0245';'Серпуховская ул.';8;;;;;;;;;;Да
'01-0246';'Серпуховская ул.';9;;;;;;;;;;Да
129716;'СОЮЗА ПЕЧАТНИКОВ ул.';10;;;;;;;;;;Да
129717;'СОЮЗА ПЕЧАТНИКОВ ул.';'13-15';;;;;;;;;;Да
129718;'СОЮЗА ПЕЧАТНИКОВ ул.';17;;;;;;;;;;Да
129720;'СОЮЗА ПЕЧАТНИКОВ ул.';'18-20';;;;;;;;;;Да
129721;'СОЮЗА ПЕЧАТНИКОВ ул.';'18-20';;;;;;;;;;Да
129722;'СОЮЗА ПЕЧАТНИКОВ ул.';19;;;;;;;;;;Да
129723;'СОЮЗА ПЕЧАТНИКОВ ул.';'21/8';;;;;;;;;;Да
129724;'СОЮЗА ПЕЧАТНИКОВ ул.';'21/8';;;;;;;;;;Да
129725;'СОЮЗА ПЕЧАТНИКОВ ул.';23;;;;;Да;;;;;Да
129726;'СОЮЗА ПЕЧАТНИКОВ ул.';26;;;;;;;;;;Да
129727;'СОЮЗА ПЕЧАТНИКОВ ул.';27;;;;;;;;;;Да
129728;'СОЮЗА ПЕЧАТНИКОВ ул.';29;;;;;;;;;;Да
129729;'СОЮЗА ПЕЧАТНИКОВ ул.';3;;;;;;;;;;Да
129730;'СОЮЗА ПЕЧАТНИКОВ ул.';30;;;;;;;;;;Да
129731;'СОЮЗА ПЕЧАТНИКОВ ул.';4;;;;;;;;;;Да
129732;'СОЮЗА ПЕЧАТНИКОВ ул.';5;;;;;;;;;;Да
129733;'СОЮЗА ПЕЧАТНИКОВ ул.';6;;;;;;;;;;Да
129734;'СОЮЗА ПЕЧАТНИКОВ ул.';7;;;;;;;;;;Да
129736;'СОЮЗА ПЕЧАТНИКОВ ул.';7;;;;;Да;;Да;Да;;
129739;'СОЮЗА ПЕЧАТНИКОВ ул.';'9/6';;;;;;;;;;Да
129740;'ТРОИЦКИЙ пр.';10;;;;;;;;;;Да
129741;'ТРОИЦКИЙ пр.';12;;;;;;;;;;Да
129742;'ТРОИЦКИЙ пр.';14;;;;;;;;;;Да
129743;'ТРОИЦКИЙ пр.';16;;;;;;;;;;Да
129744;'ТРОИЦКИЙ пр.';18;;;;;;;;;;Да
129745;'ТРОИЦКИЙ пр.';'20/36';;;;;;;;;;Да
129747;'ТРОИЦКИЙ пр.';3;;;;;Да;;Да;Да;;
129748;'ТРОИЦКИЙ пр.';4;;;;;;;;;;Да
129749;'ТРОИЦКИЙ пр.';4;;;Да;;Да;;Да;Да;;
129750;'ТРОИЦКИЙ пр.';4;;;Да;;Да;;Да;Да;;
129751;'ТРОИЦКИЙ пр.';4;;;Да;;Да;Да;Да;Да;;
129752;'ТРОИЦКИЙ пр.';5;;;;;;;;;;Да
129753;'ТРОИЦКИЙ пр.';7;;;;;;;;;;Да
129754;'ТРОИЦКИЙ пр.';8;;;;;;;;;;Да
129755;'УГЛОВОЙ пер.';11;;;;;;;;;;Да
129756;'УГЛОВОЙ пер.';3;;;;;;;;;;Да
129757;'УГЛОВОЙ пер.';4;;;;;;;;;;Да
129758;'УГЛОВОЙ пер.';5;;;;;;;;;;Да
129759;'УГЛОВОЙ пер.';7;;;;;;;;;;Да
129760;'УГЛОВОЙ пер.';9;;;;;;;;;;Да
129761;'ФОНТАНКИ наб.реки';116;;;;;;;;;;Да
129762;'ФОНТАНКИ наб.реки';116;;;Да;;Да;;Да;Да;;
129763;'ФОНТАНКИ наб.реки';126;;;;;;;;;;Да
129765;'ФОНТАНКИ наб.реки';130;;;;;;;;;;Да
129767;'ФОНТАНКИ наб.реки';'134б';;;;;Да;;Да;Да;;
129768;'ФОНТАНКИ наб.реки';'134б';;;;;Да;Да;Да;Да;;
129769;'ФОНТАНКИ наб.реки';136;;;;;;;;;;Да
129770;'ФОНТАНКИ наб.реки';149;;;;;;;;;;Да
129771;'ФОНТАНКИ наб.реки';150;;;;;;;;;;Да
129772;'ФОНТАНКИ наб.реки';150;;;;;;;;;;Да
129774;'ФОНТАНКИ наб.реки';167;;;;;;;;;;Да
129775;'ФОНТАНКИ наб.реки';167;;;;;;;;;;Да
129776;'ФОНТАНКИ наб.реки';171;;;;;;;;;;Да
129777;'ФОНТАНКИ наб.реки';179;;;;;;;;;;Да
129779;'ФОНТАНКИ наб.реки';183;;;;;;;;;;Да
129780;'ФОНТАНКИ наб.реки';187;;;;;;;;;;Да
129781;'ФОНТАНКИ наб.реки';189;;;;;;;;;;Да
129782;'ФОНТАНКИ наб.реки';191;;;;;;;;;;Да
129783;'ФОНТАНКИ наб.реки';193;;;;;;;;;;Да
129784;'ЯКУБОВИЧА ул.';14;;;;;;;;;;Да
129785;'ЯКУБОВИЧА ул.';16;;;;;Да;;Да;Да;;
129786;'ЯКУБОВИЧА ул.';2;;;;;;;;;;Да
129787;'ЯКУБОВИЧА ул.';2;;;;;;;;;;Да
129788;'ЯКУБОВИЧА ул.';20;;;;;;;;;;Да
129789;'ЯКУБОВИЧА ул.';20;;;;;;;;;;Да
129790;'ЯКУБОВИЧА ул.';22;;;;;;;;;;Да
129791;'ЯКУБОВИЧА ул.';22;;;;;;;;;;Да
129793;'ЯКУБОВИЧА ул.';24;;;;;Да;;Да;Да;;
129794;'ЯКУБОВИЧА ул.';8;;;;;;;;;;Да
