||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
35|'18_70'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||240,18|243,47|33,65|'Р'|33,65|'Р'|33,65|'Р'|33,65|'Р'|9,78|'Р'|||||||6,53|'Р'|32,64|'Р'|32,64|'Р'|31,59|'Р'|731,43|0,12144||'зависимая'|0|'отсутствует'
37|'18_73'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 80 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||408,92|506,21|52,34|'Р'|52,34|'Р'|52,34|'Р'|52,34|'Р'|15,2|'Р'|||||||0|'Р'|25,91|'Д'|38,02|'Д'|44,25|'Д'|1247,87|0,20675||'зависимая'|0|'разгружен'
38|'18_77'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||387,58|483,01|63,02|'Р'|61,72|'Р'|61,72|'Р'|61,72|'Р'|17,91|'Р'|||||||1,89|'Р'|56,57|'Р'|56,57|'Р'|54,74|'Р'|1306,45|0,20274||'зависимая'|0|'разгружен'
39|'18_78'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|2|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||1082,21|867,56|98,63|'Р'|98,63|'Р'|98,63|'Р'|98,63|'Р'|28,64|'Р'|||||||0|'Р'|77,64|'Д'|88,14|'Д'|85,3|'Д'|2624,01|0,33093||'зависимая'|'АУУ'|'разгружен'
40|'18_79'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||308,93|399,99|47,33|'Р'|47,33|'Р'|47,33|'Р'|47,33|'Р'|13,74|'Р'|||||||1,59|'Р'|47,75|'Р'|47,75|'Р'|46,21|'Р'|1055,28|0,16159||'зависимая'|0|'отсутствует'
41|'18_80'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||303,15|242,31|41,9|'Р'|41,9|'Р'|41,9|'Р'|41,9|'Р'|12,16|'Р'|||||||1,2|'Р'|36,18|'Р'|36,18|'Р'|35,02|'Р'|833,8|0,15858||'зависимая'|0|'отсутствует'
42|'18_81'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||218,76|229,12|29,41|'Р'|29,41|'Р'|29,41|'Р'|29,41|'Р'|8,54|'Р'|||||||0,86|'Р'|25,68|'Р'|25,68|'Р'|24,86|'Р'|651,14|0,11442||'зависимая'|0|'отсутствует'
43|'18_82'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||218,71|260,72|30,29|'Р'|30,29|'Р'|30,29|'Р'|30,29|'Р'|8,8|'Р'|||||||1|'Р'|30,02|'Р'|30,02|'Р'|29,05|'Р'|699,48|0,11442||'зависимая'|0|'отсутствует'
44|'18_83'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||511,57|745,27|95,55|'Р'|95,51|'Р'|95,55|'Р'|95,49|'Р'|27,71|'Р'|||||||3,05|'Р'|91,77|'Д'|91,78|'Д'|88,83|'Д'|1942,08|0,27032||'зависимая'|0|'разгружен'
45|'18_84'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||304,66|284,18|34,97|'Р'|32,03|'Р'|32,14|'Р'|31,95|'Р'|9,23|'Р'|||||||0,98|'Р'|29,46|'Р'|29,5|'Р'|28,62|'Р'|817,72|0,15876||'зависимая'|0|'отсутствует'
