||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
682|1203189|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|912,22|877,71|102,66|'МР'|101,75|'МР'|102,66|'МР'|101,52|'МР'|91,25|'МР'|||||||||99,11|'МР'|96,91|'МР'|124,2|'Д'|820,06|0,37|'120-70 0С'|'зависимая '|1|'отсутствует'|
683|1203190|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|345,225|325,755|37,84|'МР'|37,5|'МР'|37,84|'МР'|37,42|'МР'|33,635|'МР'|||||||||21,255|'МР'|35,45|'МР'|38,955|'МР'|279,895|0,145|'120-70 0С'|'зависимая '|1|'отсутствует'|
684|1203191|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'без элеваторная'|'нет'|'АИТП'|'не обслуж'|'не обслуж'|||||||||||||||||||||||101,51|'Д'|101,51|0,34|'120-70 0С'|'зависимая '|'1 АУУ'|'отсутствует'|
685|1203192|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'без элеваторная'|'нет'|'АИТП'|'не обслуж'|'не обслуж'|||||||||||||||||||||||102,85|'Д'|102,85|0,34|'120-70 0С'|'зависимая '|'1 АУУ'|'отсутствует'|
686|1203193|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|'не обслуж'|'не обслуж'|||||||||||||||||||||||138,8|'Д'|138,8|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
687|1203194|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|877,43|597,15|139,9|'Д'|107,6|'Д'|125,5|'Д'|90,1|'Д'|14,9|'Д'|||||||||88,9|'Д'|88,76|'Д'|111,1|'Д'|766,76|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
688|1203195|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|856,6|887,16|104,6|'МР'|105,74|'МР'|105,74|'МР'|105,74|'МР'|93,99|'МР'|||||||7,1||101,09|'МР'|100,53|'МР'|99,6|'МР'|824,13|0,304|'120-70 0С'|'зависимая '|1|'отсутствует'|
689|1203196|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1162,94|1398,71|119,99|'МР'|119,16|'МР'|121,22|'МР'|118,28|'МР'|110,86|'МР'|23,8|'МР'|23,32|'МР'|25,16|'МР'|26,5|'МР'|100,43|'МР'|97,97|'МР'|99,25|'МР'|985,94|0,62|'120-70 0С'|'зависимая '|1|'отсутствует'|
690|1203197|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|860,59|895,75|105,34|'МР'|106,18|'МР'|105,77|'МР'|106,49|'МР'|93,18|'МР'|||||||7,1||101,87|'МР'|101,3|'МР'|100,36|'МР'|827,59|0,304|'120-70 0С'|'зависимая '|1|'отсутствует'|
691|1203198|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1179,81|1502,16|118,44|'МР'|29,32|'МР'|119,44|'МР'|117,67|'МР'|109,56|'МР'|23,82|'МР'|23,97|'МР'|23,66|'МР'|23,7|'МР'|101,13|'МР'|99,58|'МР'|104,29|'МР'|894,58|0,65|'120-70 0С'|'зависимая '|1|'отсутствует'|
692|1203199|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|875,25|896,17|106,58|'МР'|406,27|'МР'|106,58|'МР'|106,58|'МР'|94,74|'МР'|4,2||||||||101,96|'МР'|100,13|'МР'|101,42|'МР'|1128,46|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
693|1203200|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|861,15|895,98|106,6|'МР'|106,29|'МР'|106,6|'МР'|106,6|'МР'|94,76|'МР'|7,2||||||||101,99|'МР'|101,42|'МР'|100,48|'МР'|831,94|0,304|'120-70 0С'|'зависимая '|1|'отсутствует'|
694|1203201|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|879,9|893,31|106,3|'МР'|105,99|'МР'|106,3|'МР'|106,3|'МР'|94,49|'МР'|4,2||||||||101,68|'МР'|101,12|'МР'|100,18|'МР'|826,56|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
695|1203202|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1364,39|1668,82|141,13|'МР'|140,33|'МР'|139,87|'МР'|139,03|'МР'|127,17|'МР'|42,25|'МР'|34,02|'МР'|34,26|'МР'|31,92|'МР'|127,14|'МР'|128,43|'МР'|129,5|'МР'|1215,05|0,6|'120-70 0С'|'зависимая '|1|'отсутствует'|
696|1203203|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|857,93|890,64|105,93|'МР'|105,62|'МР'|105,93|'МР'|105,93|'МР'|94,16|'МР'|||||||||101,35|'МР'|99,52|'МР'|100,81|'МР'|819,25|0,304|'120-70 0С'|'зависимая '|1|'отсутствует'|
697|1203204|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|859,75|890,94|106,31|'МР'|106|'МР'|106,31|'МР'|106,31|'МР'|94,5|'МР'|4,2||||||||101,71|'МР'|99,87|'МР'|101,16|'МР'|826,37|0,304|'120-70 0С'|'зависимая '|1|'отсутствует'|
698|1203205|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|876,4|894,85|106,59|'МР'|106,59|'МР'|106,59|'МР'|106,59|'МР'|94,75|'МР'|||||||||102|'МР'|105,65|'МР'|102|'МР'|830,76|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
699|1203206|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|853,65|897,12|106,06|'МР'|106,06|'МР'|106,06|'МР'|106,06|'МР'|94,28|'МР'|4,2||||||||101,52|'МР'|101,52|'МР'|101,52|'МР'|827,28|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
700|1203207|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|853,37|892,5|109,09|'МР'|106,09|'МР'|106,09|'МР'|106,09|'МР'|94,3|'МР'|7,6||||||||101,46|'МР'|101,46|'МР'|101,46|'МР'|833,64|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
701|1203208|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|874,04|894,97|106,11|'МР'|106,11|'МР'|106,11|'МР'|106,11|'МР'|94,3|'МР'|4,2||||||||101,52|'МР'|101,52|'МР'|101,52|'МР'|827,5|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
702|1203209|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|855,39|899,44|106,48|'МР'|106,48|'МР'|106,48|'МР'|106,48|'МР'|94,65|'МР'|4,2||||||||101,86|'МР'|101,52|'МР'|101,52|'МР'|829,67|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
703|1203210|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1229,86|1524,74|118,22|'МР'|117,97|'МР'|117,88|'МР'|118,43|'МР'|107,31|'МР'|24,06|'МР'|25,25|'МР'|24,66|'МР'|26,98|'МР'|74,34|'МР'|98,86|'МР'|98,95|'МР'|952,91|0,66|'120-70 0С'|'зависимая '|1|'отсутствует'|
704|1203211|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1817,46|2543,12|224,49|'МР'|220,05|'МР'|228,64|'МР'|226,97|'МР'|179,55|'МР'|52,67|'МР'|50,57|'МР'|51,46|'МР'|50,08|'МР'|183,27|'МР'|177,98|'МР'|298,71|'МР'|1944,44|0,8|'120-70 0С'|'зависимая '|2|'отсутствует'|
705|1203212|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|782,83|743,81|87,45|'МР'|87,45|'МР'|87,45|'МР'|87,45|'МР'|77,73|'МР'|||1,83||||||81,51|'МР'|83,76|'МР'|80,83|'МР'|675,46|0,31|'120-70 0С'|'зависимая '|1|'отсутствует'|
706|1203213|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|'830..34'|996,44|189,65|'Д'|126,99|'Д'|171,27|'Д'|94,5|'Д'|21,66|'Д'|||0,8||||||107,74|'Д'|96,6|'Д'|141,41|'Д'|950,62|0,41|'120-70 0С'|'зависимая '|1|'отсутствует'|
707|1203214|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|831,5|993,25|191,72|'Д'|142,13|'Д'|188,11|'Д'|109,03|'Д'|17,08|'Д'|||||||||122,15|'Д'|119,54|'Д'|134,36|'Д'|1024,12|0,41|'120-70 0С'|'зависимая '|1|'отсутствует'|
708|1203215|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|521,04|597,99|71,84|'МР'|71,84|'МР'|71,84|'МР'|72,37|'МР'|63,85|'МР'|||2,12||||||69,08|'МР'|69,93|'МР'|67,48|'МР'|560,35|0,24|'120-70 0С'|'зависимая '|1|'отсутствует'|
709|1203216|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1268,55|1516,51|144,96|'МР'|144,67|'МР'|144,91|'МР'|144,73|'МР'|132,96|'МР'|44,96|'МР'|47,75|'МР'|44,99|'МР'|45,68|'МР'|142,38|'МР'|142,99|'МР'|136,76|'МР'|1317,74|0,56|'120-70 0С'|'зависимая '|1|'отсутствует'|
710|1203217|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|570,86|707,45|86,46|'МР'|89,46|'МР'|86,46|'МР'|86,46|'МР'|76,85|'МР'|||2||||||82,14|'МР'|83,16|'МР'|80,29|'Д'|673,28|0,23|'120-70 0С'|'зависимая '|1|'отсутствует'|
711|1203218|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1118,6|1128,46|135,68|'МР'|135,68|'МР'|135,68|'МР'|135,68|'МР'|120,6|'МР'|||1,83||||||131,24|'МР'|132,49|'МР'|128,21|'МР'|1057,09|0,43|'120-70 0С'|'зависимая '|1|'отсутствует'|
712|1203219|'гуп тэк'|'ИТП'|'закрытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|3|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'без элеваторная'|'да'|'АИТП'|'не обслуж'||||||||||||||||||||689,78|'Д'|579,97|'Д'|655,28|'Д'|1925,03|6,58|'120-70 0С'|'независимая '|'3 АУУ'|'отсутствует'|
713|1203220|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1731,01|1657,3|294,46|'Д'|267,91|'Д'|249,61|'Д'|191,67|'Д'|100,22|'Д'|29,94|'Д'|12,45|'Д'|17,82|'Д'|22,92|'Д'|156,23|'Д'|172,1|'Д'|204,5|'Д'|1719,83|0,82533|'120-70 0С'|'зависимая '|1|'отсутствует'|
714|1203221|'гуп тэк'|'ИТП'|'закрытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|4|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'без элеваторная'|'да'|'АИТП'|'не обслуж'||||||||||||||||||||786,98|'Д'|670,17|'Д'|793,39|'Д'|2250,54|7,7|'120-70 0С'|'независимая '|'4 АУУ'|'отсутствует'|
715|1203222|'гуп тэк'|'ИТП'|'закрытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|3|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'без элеваторная'|'да'|'АИТП'|'не обслуж'||||||||||||||||||||671,39|'Д'|546,93|'Д'|623,74|'Д'|1842,06|6,68|'120-70 0С'|'независимая '|'3 АУУ'|'отсутствует'|
716|1203223|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|2854,98|2361,57|422,23|'Д'|389,59|'Д'|368,49|'Д'|285,01|'Д'|167,27|'Д'|64,23|'Д'|26,17|'Д'|41,67|'Д'|52,26|'Д'|251,76|'Д'|257,4|'Д'|299,12|'Д'|2625,2|0,92398|'120-70 0С'|'зависимая '|1|'отсутствует'|
717|1203224|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|4|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|7654,64|6175,49|1109,6|'Д'|1024,5|'Д'|958,5|'Д'|725,12|'Д'|435,58|'Д'|225,64|'Д'|180,76|'Д'|74,32|'Д'|131,73|'Д'|589,53|'Д'|661,6|'Д'|762,5|'Д'|6879,38|2,53391|'120-70 0С'|'зависимая '|4|'отсутствует'|
718|1203225|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|4|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|6829,36|4933,98|1107,61|'Д'|1012,1|'Д'|934,53|'Д'|747,16|'Д'|416,2|'Д'|148,55|'Д'|68,27|'Д'|102,69|'Д'|132,57|'Д'|282,52|'Д'|653,66|'Д'|725,02|'Д'|6330,88|2,53338|'120-70 0С'|'зависимая '|4|'отсутствует'|
719|1203226|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|905,63|919,02|107,15|'МР'|107,15|'МР'|107,15|'МР'|107,15|'МР'|95,24|'МР'|||2,21||||||101,22|'МР'|102,46|'МР'|98,88|'МР'|828,61|0,39|'120-70 0С'|'зависимая '|1|'отсутствует'|
720|1203227|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|772,71|861,92|82,3|'МР'|81,97|'МР'|82,41|'МР'|82,44|'МР'|75,17|'МР'|16,35|'МР'|15,96|'МР'|18,19|'МР'|15,9|'МР'|72,88|'МР'|76,41|'МР'|74,2|'МР'|694,18|0,38|'120-70 0С'|'зависимая '|1|'отсутствует'|
721|1203228|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|769,08|800,42|99,65|'МР'|99,43|'МР'|99,43|'МР'|99,43|'МР'|88,38|'МР'|1,9||||||||94,51|'МР'|95,67|'МР'|92,32|'МР'|770,72|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
722|1203229|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|446,43|579,22|75,27|'МР'|75,27|'МР'|75,27|'МР'|75,27|'МР'|95,26|'МР'|1,8|'МР'|5,83|'МР'|1,83|'МР'|2,38|'МР'|74,02|'МР'|74,88|'МР'|73,46|'МР'|630,54|0,256|'120-70 0С'|'зависимая '|1|'отсутствует'|
723|1203230|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'без элеваторная'|'нет'|'АИТП'|605,2|7698,28|103,41|'Дср'|103,41|'Дср'|103,41|'Дср'|103,41|'Дср'|103,41|'Дср'|||||||||98,61|'Дср'|98,61|'Дср'|100,15|'Д'|814,42|0,32|'120-70 0С'|'зависимая '|'1 АУУ'|'отсутствует'|
724|1203231|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|2328,53|2199,48|359,71|'Д '|173,54|'Д '|375,26|'Д '|203,25|'Д '|53,73|'Д '|||||||||268,33|'Д '|278,69|'Д '|306,09|'Д'|2018,6|0,24|'120-70 0С'|'зависимая '|1|'отсутствует'|
725|1203232|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|||||||||||||||||||||||||||0|0,24|'120-70 0С'|'зависимая '|1|'отсутствует'|
726|1203233|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|||||||||||||||||||||||||||0|0,26|'120-70 0С'|'зависимая '|1|'отсутствует'|
727|1203234|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1350,67|1188,94|143,24|'Д'|157,67|'Д'|197,96|'Д'|121,91|'Д'|52,21|'Д'|17,06|'Д'|13,1|'Д'|11,2|'Д'|16,12|'Д'|124,18|'Д'|126,32|'Д'|163,49|'Д'|1144,46|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
728|1203235|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1055,1|1238,81|176,59|'Д'|160,96|'Д'|212,56|'Д'|130,21|'Д'|43,28|'Д'|20,56|'Д'|15,2|'Д'|15,96|'Д'|16,06|'Д'|134,73|'Д'|139,38|'Д'|164,65|'Д'|1230,14|0,41|'120-70 0С'|'зависимая '|1|'отсутствует'|
729|1203236|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|760,41|905,22|111,63|'МР'|115,7|'МР'|115,82|'МР'|115,82|'МР'|102,96|'МР'|||||||1,99||104,96|'МР'|108,96|'МР'|108,07|'МР'|885,91|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
730|1203237|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|765,86|862,95|105,32|'МР'|110,88|'МР'|106,91|'МР'|106,91|'МР'|84,38|'МР'|||||||3,91||101,29|'МР'|102,04|'МР'|100,54|'МР'|822,18|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
731|1203238|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1007,99|1092,51|120,67|'МР'|127,6|'МР'|127,6|'МР'|127,6|'МР'|113,43|'МР'|||||||3,91||125,54|'МР'|132,49|'МР'|131,24|'МР'|1010,08|0,37|'120-70 0С'|'зависимая '|1|'отсутствует'|
732|1203239|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|588,3|701,98|83,59|'МР'|80,86|'МР'|84,83|'МР'|84,83|'МР'|71,87|'МР'|4,8||||||||74,34|'МР'|82,31|'МР'|81,53|'МР'|648,96|0,25|'120-70 0С'|'зависимая '|1|'отсутствует'|
733|1203240|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|2|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1972,5|2290,18|276,74|'МР'|275,64|'МР'|276,74|'МР'|276,74|'МР'|246,51|'МР'|10,74|'МР'|5,58|'МР'|5,58|'МР'|5,4|'МР'|261,014|'МР'|275,11|'МР'|272,07|'МР'|2187,864|0,83|'120-70 0С'|'зависимая '|2|'отсутствует'|
734|1204001|||||||||||||||||||||||||||||||||||||||||||||||||||
735|1204002|||||||||||||||||||||||||||||||||||||||||||||||||||
736|1204003|||||||||||||||||||||||||||||||||||||||||||||||||||
737|1204004|||||||||||||||||||||||||||||||||||||||||||||||||||
738|1204005|||||||||||||||||||||||||||||||||||||||||||||||||||
739|1204006|||||||||||||||||||||||||||||||||||||||||||||||||||
