'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'|||||||||||||||||||||||||||||||||||||
'МОСКОВСКОГО  района'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
46|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|23|1||1201046|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6Т'|1964|3|5||6|110|5442||5063|379|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
47|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|29|2||1201047|'част.управл.орг.с гос.участием'|||'1-ЛГ-606-4'|1972|3|9||4|208|9904||9772|132|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1||1||
48|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|31|1||1201048|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-3'|1964|3|5||7|139|6950||6885|65|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
49|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|31|2||1201049|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6Т'|1964|3|5||6|110|5449||5055|394|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
50|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|33|1||1201050|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1964|3|5||7|139|6909||6848|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
51|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|33|2||1201051|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6Т'|1964|3|5||6|110|5429||5055|374|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
52|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|41|2||1201052|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1964|3|5||7|139|6918||6857|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
53|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|41|3||1201053|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1964|3|5||7|139|6920||6859|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
54|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|47|1||1201054|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1964|3|5||7|139|6944||6875|69|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
55|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|47|4||1201055|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6Т'|1964|3|5||6|110|5436||5065|371|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
