41|17000041|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|1||32|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|764.06|707.22||'Д'|72.86|'Д'|100.32|'Д'|55.4|'Д'|24.39|'Д'|12.56|'Д'|12.94|'Д'|12.57|'Д'|13.24|'Д'|67.3|'Д'|57.74|'Д'|75.1|'Д'|504.42|0.34|'150-70'|'зависимая'|1|'разгружен'
42|17000042|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|1||32|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|598.57|610.82|106.85|'Д'|70|'Д'|90.17|'Д'|58.2|'Д'|15.36|'Д'|13.79|'Д'|11.22|'Д'|11.25|'Д'|14.44|'Д'|61.65|'Д'|52.98|'Д'|69.23|'Д'|575.14|0.33|'150-70'|'зависимая'|1|'разгружен'
43|17000043|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|1||32|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|698.43|734.02|118.02|'Д'|66.55|'Д'|115.43|'Д'|56.19|'Д'|18.7|'Д'|10.03|'Д'|8.98|'Д'|9.7|'Д'|13.7|'Д'|61.7|'Д'|47.62|'Д'|70.62|'Д'|597.24|0.34|'150-70'|'зависимая'|1|'разгружен'
44|17000044|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|2||65|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|7092.93|6730.43|1081.49|'Д'|862.9|'Д'|989.44|'Д'|616.4|'Д'|272.86|'Д'|132.93|'Д'|121.35|'Д'|127.56|'Д'|155.48|'Д'|667.24|'Д'|612.46|'Д'|839.3|'Д'|6479.41|3.39|'150-70'|'зависимая'|2|'разгружен'
45|17000045|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|2||50|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|3399.73|3131.24|532.35|'Д'|372.15|'Д'|520.24|'Д'|301.7|'Д'|139.3|'Д'|68.98|'Д'|60.86|'Д'|58.99|'Д'|79.06|'Д'|343.02|'Д'|331.08|'Д'|454.2|'Д'|3261.93|1.49|'150-70'|'зависимая'|2|'разгружен'
46|17000046|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|1||50|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|1960.09|2051.09|143.44|'Д'|238.6|'Д'|333.92|'Д'|226.26|'Д'|86.48|'Д'|52.85|'Д'|38.46|'Д'|40.28|'Д'|48.86|'Д'|263.02|'Д'|253.76|'Д'|319.45|'Д'|2045.38|0.89|'150-70'|'зависимая'|1|'разгружен'
47|17000047|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|1||40|8.14|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|2256.27|2282.09|327.17|'Д'|226.84|'Д'|295.79|'Д'|184.37|'Д'|101.24|'Д'|52.59|'Д'|53.22|'Д'|56.71|'Д'|69.33|'Д'|223.65|'Д'|192.11|'Д'|257.2|'Д'|2040.22|0.92|'150-70'|'зависимая'|1|'разгружен'
48|17000048|'Открытое акционерное общество Теплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с ограниченной ответственностьюЖилищно-коммунальный сервис №2 Фрунзенского района'|'отопление'|'Гкал'|1||32||'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'С 01.07.2012г. Перешел в 3-ю форму в "ЖКС №2 Фрунзенского района" от сторонней организации'||237.76|54.67|'Р'|51.37|'Р'|51.52|'Р'|48.01|'Р'|51.48|'Р'|11.83|'Р'|11.44|'Д'|7.56|'Д'|9.38|'Д'|50.84|'Д'|62|'Д'|80.1|'Д'|490.2|0.33|'150-70'|'зависимая'|1|'разгружен'
49|17000049|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|4||40|9.11|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|5574.56|5220.3|827.6|'Д'|621.28|'Д'|807.27|'Д'|488.1|'Д'|194.44|'Д'|101|'Д'|98.45|'Д'|91.43|'Д'|122.63|'Д'|547.38|'Д'|445.33|'Д'|602.8|'Д'|4947.71|2.8|'150-70'|'зависимая'|4|'разгружен'
50|17000050|'Открытое Аукционерное ОбществоТеплосеть Санкт-Петербурга'|'ЦТП'|'закрытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|2||100|9.11|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|4525.94|4364.86|722.61|'Д'|523.62|'Д'|664.74|'Д'|416.73|'Д'|171.75|'Д'|103.76|'Д'|101.16|'Д'|93.1|'Д'|121.96|'Д'|483.88|'Д'|418.06|'Д'|535.64|'Д'|4357.01|2.32|'150-70'|'зависимая'|1|'разгружен'
