39|2001564|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'нет'|||||||||||||||||||||||||||||||||0|||'зависимая'||
40|2000141|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|2|||8|'105/70'|'да'|||||||||173||173||'319.93'||'172.3'||'42.12'||'34.044'||'59.269'||28||||'218.23'||'201.88'||'245.92'||'1667.69'|'573.23'||'зависимая'|2|
41|2000176|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'121.46'||'62.92'||'104.61'||'55.615'||'11.54'||0||0||0||||'73.92'||'99.61'||'78.31'||'607.98'|'103.5'||'зависимая'|1|
42|2000177|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'214.48'||'167.7'||'210.4'||'156.813'||'20.97'||'11.83'||'7.05'||'6.75'||||'109.61'||'129.08'||'160.36'||'1195.05'|'129.23'||'зависимая'|1|
43|2000178|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'98.35'||'60.39'||'81.79'||'55.6'||'8.75'||0||0||0||||'66.06'||'54.71'||67||'492.65'|'73.93'||'зависимая'|1|
44|2000179|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'126.28'||'79.52'||'110.48'||'55.56'||'9.58'||0||0||0||||'54.77'||'51.14'||'66.05'||'553.38'|'77.63'||'зависимая'|1|
45|2000180|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'131.14'||134||'157.09'||'87.02'||'37.78'||'22.47'||'12.01'||'12.35'||||'109.29'||'94.25'||'118.7'||'916.1'|'172.86'||'зависимая'|1|
46|2000194|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'186.41'||'134.71'||'158.59'||'27.32'||'33.56'||0||0||0||||'89.78'||'91.47'||'112.45'||'834.29'|'129.38'||'зависимая'|1|
47|2000196|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'145.57'||103||'147.85'||'69.38'||'26.91'||'10.79'||'10.11'||'9.63'||||'93.73'||'75.08'||'86.61'||'778.66'|'139.96'||'зависимая'|1|
48|2000197|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'154.77'||'110.53'||'123.65'||'103.78'||'36.63'||'30.53'||'14.05'||'13.11'||||'110.86'||'117.86'||'131.33'||'947.1'|'231.64'||'зависимая'|1|
49|2000199|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'84.67'||'96.39'||'86.07'||'68.73'||'26.02'||'22.72'||'14.97'||'15.82'||||'72.91'||'68.26'||'79.12'||'635.68'|'125.1'||'зависимая'|1|
50|2000200|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'||||||||||'282.39'||||||||||0||0||0||||'88.94'||'74.47'||'93.76'||'539.56'|'139.96'||'зависимая'|1|
51|2001287|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'282.39'||'195.22'||'240.29'||'197.51'||'13.67'||0||0||0||||'162.51'||'172.45'||'206.11'||'1470.15'|'203.31'||'зависимая'|1|
