||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
28|8028|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||957,13|984,36|231,03|'Д'|161,35|'Д'|184,48||151,66|'Д'|26,32|'Д'|||||||||83,01|'Д'|98,42|'Д'|134,42|'Д'|1070,69|0,51|'105/70'|'независимая'|1|'О'|
29|8029|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|100|0|'150/70'|'да'|0|'да'|'нет'|0|0||1491,32|1396,84|299,84|'Д'|197,91|'Д'|293,58||152,75|'Д'|28,16|'Д'|||||||||195,4|'Д'|147,62|'Д'|224,95|'Д'|1540,21|0,95|'105/70'|'зависимая'|1|'О'|
30|8030|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|3|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||3879,81|3899,53|654,22|'Д'|545,82|'Д'|690,62||458,2|'Д'|101,42|'Д'|||||||||424,11|'Д'|349,42|'Д'|566,59|'Д'|3790,4|1,95|'105/70'|'независимая'|3|'О'|
31|8031|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||1167,72|1025,73|185,07|'Д'|165,19|'Д'|214,82||137,53|'Д'|30,29|'Д'|||||||||123,42|'Д'|105,73|'Д'|172,66|'Д'|1134,71|0,53|'105/70'|'независимая'|1|'О'|
32|8032|'"ОАО ""ТГК-1"""'|'АИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||1024,44|1001,61|183,35|'Д'|166,18|'Д'|190,71||152,32|'Д'|33,55|'Д'|||||||||137,83|'Д'|109,22|'Д'|148,21|'Д'|1121,37|0,54|'105/70'|'независимая'|1|'О'|
33|8033|'"ОАО ""ТГК-1"""'|'АИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||1365,13|1254,78|244,07|'Д'|155,55|'Д'|264,88||116,45|'Д'|28,57|'Д'|||||||||155,94|'Д'|105,61|'Д'|202,79|'Д'|1273,86|0,69|'105/70'|'независимая'|1|'О'|
34|8034|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|5|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||5765,76|4741,6|899,53|'Д'|763,37|'Д'|984,13||584,37|'Д'|107,42|'Д'|||||||||459,8|'Д'|379,05|'Д'|740,31|'Д'|4917,98|2,25|'105/70'|'независимая'|5|'О'|
35|8035|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2142,23|1991,28|383,02|'Д'|262,34|'Д'|391,08||162,97|'Д'|28,28|'Д'|||||||||205,88|'Д'|168,28|'Д'|262,63|'Д'|1864,48|0,001|'105/70'|'зависимая'|1|'О'|
36|8036|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||1229,14|1304,64|232,69|'Д'|187,96|'Д'|251,28||160,87|'Д'|38,29|'Д'|||||||||187,48|'Д'|132,18|'Д'|195,77|'Д'|1386,52|0,57|'105/70'|'независимая'|1|'О'|
37|8037|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2739,28|2536,1|431|'Д'|338,72|'Д'|458,18||292,25|'Д'|65,31|'Д'|||||||||287,82|'Д'|340,45|'Д'|424,1|'Д'|2637,83|1,18|'105/70'|'независимая'|2|'О'|
38|8038|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|125|0|'150/70'|'да'|0|'да'|'нет'|0|0||1533,15|1448,79|314,92|'Д'|212,22|'Д'|310,02||150,01|'Д'|21,34|'Д'|||||||||167,65|'Д'|139,07|'Д'|220,91|'Д'|1536,14|0,95|'105/70'|'зависимая'|1|'О'|
39|8039|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||1030,48|1181,68|220,45|'Д'|174,63|'Д'|239,67||145,63|'Д'|34,33|'Д'|||||||||144,12|'Д'|98,59|'Д'|161,67|'Д'|1219,09|0,48|'105/70'|'независимая'|1|'О'|
40|8040|'"ОАО ""ТГК-1"""'|'АИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||673,63|687,16|110,11|'Д'|92,35|'Д'|129,82||53,6|'Д'|11,51|'Д'|||||||||89,82|'Д'|64,94|'Д'|117,03|'Д'|669,18|0,35|'105/70'|'независимая'|1|'О'|
41|8041|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|100|0|'150/70'|'да'|0|'да'|'нет'|0|0||1709,32|1717,52|357,72|'Д'|247,36|'Д'|352,78||192,61|'Д'|35,25|'Д'|||||||||220,44|'Д'|122,37|'Д'|203,02|'Д'|1731,55|0,93|'105/70'|'зависимая'|1|'О'|
42|8042|'"ОАО ""ТГК-1"""'|'АИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||673,22|671,25|135,09|'Д'|114,8|'Д'|133,59||93,44|'Д'|21,23|'Д'|||||||||92,97|'Д'|75,02|'Д'|111,53|'Д'|777,67|0,35|'105/70'|'независимая'|1|'О'|
43|8043|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|3|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||3610,64|3686,58|689,39|'Д'|556,9|'Д'|773,09||433,59|'Д'|97,89|'Д'|||||||||394,75|'Д'|379,88|'Д'|613,45|'Д'|3938,94|1,7919|'105/70'|'независимая'|3|'О'|
44|8044|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||2891,01|2895,71|543,45|'Д'|406,2|'Д'|586,71||313,9|'Д'|79,38|'Д'|||||||||349|'Д'|230,91|'Д'|411,24|'Д'|2920,79|1,2|'105/70'|'независимая'|2|'О'|
45|8045|'"ОАО ""ТГК-1"""'|'АИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|3|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||2415,62|2651,62|398,8|'Д'|293,99|'Д'|459,84||236,71|'Д'|41,45|'Д'|||||||||247,11|'Д'|218,2|'Д'|405,72|'Д'|2301,82|1,45|'105/70'|'независимая'|3|'О'|
46|8046|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|150|0|'150/70'|'да'|0|'да'|'нет'|0|0||4215,43|3415,03|801,42|'Д'|552,1|'Д'|836,99||228,79|'Д'|73,72|'Д'|||||||||489,51|'Д'|387,69|'Д'|588,19|'Д'|3958,41|3,51|'105/70'|'зависимая'|2|'О'|
