||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
457|34315|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2517,89|2553,64|342,77|'Р'|342,77|'Р'|342,77|'Р'|342,77|'Р'|342,77|'Р'|||||||||341,38|'Р'|341,38|'Р'|341,38|'Р'|2737,99|1,89173|'105/70'|'зависимая'|2|'разгружен'
458|34316|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||660,3|669,68|89,89|'Р'|89,89|'Р'|89,89|'Р'|89,89|'Р'|89,89|'Р'|||||||||83,82|'Р'|83,82|'Р'|83,82|'Р'|700,91|0,352|'105/70'|'зависимая'|1|'разгружен'
459|34317|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2122,98|2153,12|289,01|'Р'|289,01|'Р'|289,01|'Р'|289,01|'Р'|289,01|'Р'|||||||||269,49|'Р'|269,49|'Р'|269,49|'Р'|2253,52|1,4003|'105/70'|'зависимая'|2|'разгружен'
460|34318|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3651,32|3703,16|647,43|'Д'|557,51|'Д'|558,3|'Д'|328,77|'Д'|128,38|'Д'|||||||||368,38|'Д'|401,94|'Д'|492,98|'Д'|3483,69|1,97073|'95/70'|'зависимая'|2|'разгружен'
461|34319|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||1614,45|1637,37|247,4|'Д'|246,47|'Д'|230|'Д'|143,86|'Д'|41,14|'Д'|||||||||190,75|'Д'|203,48|'Д'|237,23|'Д'|1540,33|0,9929|'105/70'|'зависимая'|1|'разгружен'
462|34320|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||2263,43|2295,57|308,13|'Р'|308,13|'Р'|308,13|'Р'|308,13|'Р'|308,13|'Р'|||||||||303,7|'Р'|303,7|'Р'|303,7|'Р'|2451,75|1,67169|'95/70'|'зависимая'|2|'разгружен'
463|34321|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2056,5|2085,7|279,96|'Р'|279,96|'Р'|279,96|'Р'|279,96|'Р'|279,96|'Р'|||||||||244,86|'Р'|244,86|'Р'|244,86|'Р'|2134,38|1,22243|'95/70'|'зависимая'|2|'разгружен'
464|34322|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2767,71|2807,01|376,78|'Р'|376,78|'Р'|376,78|'Р'|376,78|'Р'|376,78|'Р'|||||||||361,54|'Р'|361,54|'Р'|361,54|'Р'|2968,52|1,67041|'95/70'|'зависимая'|2|'разгружен'
465|34423|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2672,44|2710,38|363,81|'Р'|363,81|'Р'|363,81|'Р'|363,81|'Р'|363,81|'Р'|||||||||280,4|'Р'|280,4|'Р'|280,4|'Р'|2660,25|1,69171|'95/70'|'зависимая'|2|'разгружен'
466|34524|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2010,3|2038,84|273,67|'Р'|273,67|'Р'|273,67|'Р'|273,67|'Р'|273,67|'Р'|||||||||245,16|'Р'|245,16|'Р'|245,16|'Р'|2103,83|1,22771|'95/70'|'зависимая'|2|'разгружен'
467|34325|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|3|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||4327,72|4389,17|589,15|'Р'|589,15|'Р'|589,15|'Р'|589,15|'Р'|589,15|'Р'|||||||||429,86|'Р'|429,86|'Р'|429,86|'Р'|4235,33|2,16611|'95/70'|'зависимая'|3|'разгружен'
468|34326|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|5|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||4490,54|4554,3|744,04|'Д'|701,87|'Д'|667,46|'Д'|427,04|'Д'|144,03|'Д'|||||||||439,45|'Д'|501,4|'Д'|659,09|'Д'|4284,38|2,8147|'95/70'|'зависимая'|5|'разгружен'
469|34327|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'безэлеваторная'|'нет'||1140,58|1156,78|137,18|'Р'|137,18|'Р'|137,18|'Р'|137,18|'Р'|137,18|'Р'|||||||||124,81|'Р'|124,81|'Р'|152,7|'Д'|1088,22|0,82983|'105/70'|'зависимая'|0|'разгружен'
470|34328|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2910,63|2951,96|361,41|'Р'|361,41|'Р'|361,41|'Р'|361,41|'Р'|361,41|'Р'|||||||||346,8|'Р'|346,8|'Р'|276,36|'Д'|2777,01|1,61859|'105/70'|'зависимая'|3|'не разгружен'
471|34329|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||3320,74|3367,89|648,27|'Д'|573,41|'Д'|510,71|'Д'|321,41|'Д'|113,58|'Д'|||||||||256,24|'Д'|327,62|'Д'|417,05|'Д'|3168,29|2,0312|'95/70'|'зависимая'|4|'разгружен'
472|34330|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|9|'центральное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||6190,66|6278,56|771,14|'Р'|771,14|'Р'|771,14|'Р'|771,14|'Р'|771,14|'Р'|||||||||720,94|'Р'|720,94|'Р'|608,87|'Д'|5906,45|3,50839|'105/70'|'зависимая'|9|'не разгружен'
473|34331|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'элеваторная'|'да'||1384,36|1404,02|261,59|'Д'|240|'Д'|228,26|'Д'|131,49|'Д'|66,66|'Д'|||||||||102,08|'Д'|125,53|'Д'|165,2|'Д'|1320,81|0,81304|'95/70'|'независимая'|0|'не разгружен'
474|34332|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||1591,63|1614,23|269,32|'Д'|266,32|'Д'|251,9|'Д'|171,26|'Д'|86,08|'Д'|||||||||127,54|'Д'|155,54|'Д'|190,6|'Д'|1518,56|0,85488|'95/70'|'зависимая'|2|'разгружен'
475|34333|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'||||||0|||||'нет'|||||||0|0|||||||||||||||||||||||||0|||||
476|34334|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||16,97|17,21|2,31|'Р'|2,31|'Р'|2,31|'Р'|2,31|'Р'|2,31|'Р'|||||||||2,39|'Р'|2,39|'Р'|2,39|'Р'|18,72|0,02211|'95/70'|'зависимая'|0|'разгружен'
477|34335|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||28,57|28,98|3,89|'Р'|3,89|'Р'|3,89|'Р'|3,89|'Р'|3,89|'Р'|||||||||4,2|'Р'|4,2|'Р'|4,2|'Р'|32,05|0,02168|'95/70'|'зависимая'|0|'разгружен'
478|34336|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||53,04|53,79|7,22|'Р'|7,22|'Р'|7,22|'Р'|7,22|'Р'|7,22|'Р'|||||||||7,8|'Р'|7,8|'Р'|7,8|'Р'|59,5|0,03154|'95/70'|'зависимая'|0|'разгружен'
479|34337|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||17,48|17,73|2,38|'Р'|2,38|'Р'|2,38|'Р'|2,38|'Р'|2,38|'Р'|||||||||2,46|'Р'|2,46|'Р'|2,46|'Р'|19,28|0,02409|'95/70'|'зависимая'|0|'разгружен'
480|34338|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||97,55|98,94|13,28|'Р'|13,28|'Р'|13,28|'Р'|13,28|'Р'|13,28|'Р'|||||||||12,37|'Р'|12,37|'Р'|12,37|'Р'|103,51|0,06815|'95/70'|'зависимая'|0|'разгружен'
481|34339|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||83,96|85,15|11,43|'Р'|11,43|'Р'|11,43|'Р'|11,43|'Р'|11,43|'Р'|||||||||11,04|'Р'|11,04|'Р'|11,04|'Р'|90,27|0,05369|'95/70'|'зависимая'|0|'разгружен'
482|34340|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||51,35|52,08|6,99|'Р'|6,99|'Р'|6,99|'Р'|6,99|'Р'|6,99|'Р'|||||||||7,24|'Р'|7,24|'Р'|7,24|'Р'|56,67|0,04015|'95/70'|'зависимая'|0|'разгружен'
483|34341|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||139,13|141,1|18,94|'Р'|18,94|'Р'|18,94|'Р'|18,94|'Р'|18,94|'Р'|||||||||18,39|'Р'|18,39|'Р'|18,39|'Р'|149,87|0,07135|'95/70'|'зависимая'|0|'разгружен'
484|34342|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||133,99|135,89|18,24|'Р'|18,24|'Р'|18,24|'Р'|18,24|'Р'|18,24|'Р'|||||||||16,9|'Р'|16,9|'Р'|16,9|'Р'|141,9|0,084|'95/70'|'зависимая'|0|'разгружен'
485|34343|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||67,65|68,61|9,21|'Р'|9,21|'Р'|9,21|'Р'|9,21|'Р'|9,21|'Р'|||||||||8,6|'Р'|8,6|'Р'|8,6|'Р'|71,85|0,04476|'95/70'|'зависимая'|0|'разгружен'
486|34344|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||31,66|32,11|4,31|'Р'|4,31|'Р'|4,31|'Р'|4,31|'Р'|4,31|'Р'|||||||||4,47|'Р'|4,47|'Р'|4,47|'Р'|34,96|0,0297|'95/70'|'зависимая'|0|'разгружен'
487|34345|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2943,57|2985,36|400,72|'Р'|400,72|'Р'|400,72|'Р'|400,72|'Р'|400,72|'Р'|||||||||374,4|'Р'|374,4|'Р'|374,4|'Р'|3126,8|1,83252|'105/70'|'зависимая'|4|'не разгружен'
488|34346|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3273,98|3320,47|445,7|'Р'|445,7|'Р'|445,7|'Р'|445,7|'Р'|445,7|'Р'|||||||||446,86|'Р'|446,86|'Р'|446,86|'Р'|3569,08|2,24846|'105/70'|'зависимая'|4|'разгружен'
489|34347|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||841,58|853,53|150,21|'Д'|135,34|'Д'|126,49|'Д'|88,23|'Д'|31,02|'Д'|||||||||81,11|'Д'|86,44|'Д'|104,1|'Д'|802,94|0,52696|'105/70'|'зависимая'|1|'разгружен'
490|34348|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||838,56|850,46|137,22|'Д'|131,98|'Д'|128,3|'Д'|88,13|'Д'|32,74|'Д'|||||||||83,88|'Д'|89,57|'Д'|108,24|'Д'|800,06|0,52696|'105/70'|'зависимая'|1|'разгружен'
491|34349|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|3|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||5508,91|5587,13|749,95|'Р'|749,95|'Р'|749,95|'Р'|749,95|'Р'|749,95|'Р'|||||||||723,03|'Р'|723,03|'Р'|723,03|'Р'|5918,84|3,80521|'105/70'|'зависимая'|3|'разгружен'
492|34350|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'||||207|209,94|28,18|'Р'|28,18|'Р'|28,18|'Р'|28,18|'Р'|28,18|'Р'|||||||||27,36|'Р'|27,36|'Р'|27,36|'Р'|222,98|0,16818|'95/70'|'зависимая'|0|'разгружен'
493|34351|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||646,79|655,97|88,05|'Р'|88,05|'Р'|88,05|'Р'|88,05|'Р'|88,05|'Р'|||||||||101,32|'Р'|101,32|'Р'|101,32|'Р'|744,21|0,35453|'95/70'|'зависимая'|1|'разгружен'
494|34352|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'безэлеваторная'|'нет'||1092,16|1107,67|148,68|'Р'|148,68|'Р'|148,68|'Р'|148,68|'Р'|148,68|'Р'|||||||||136,3|'Р'|136,3|'Р'|136,3|'Р'|1152,3|0,65524|'105/70'|'зависимая'|0|'разгружен'
495|34353|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'безэлеваторная'|'нет'||1054,63|1069,6|135,76|'Д'|184,05|'Д'|179,57|'Д'|129,29|'Д'|55,96|'Д'|||||||||88,78|'Д'|109,93|'Д'|122,87|'Д'|1006,21|0,49706|'105/70'|'зависимая'|0|'разгружен'
496|34354|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2569,93|2606,42|405,56|'Д'|420,58|'Д'|394,83|'Д'|239,83|'Д'|76,58|'Д'|||||||||263,8|'Д'|286,34|'Д'|364,43|'Д'|2451,95|1,71984|'105/70'|'зависимая'|2|'разгружен'
497|34355|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2215,21|2246,66|355,66|'Д'|349,18|'Д'|337,48|'Д'|201,61|'Д'|34,67|'Д'|||||||||240,36|'Д'|263,04|'Д'|331,51|'Д'|2113,51|1,51084|'105/70'|'зависимая'|2|'разгружен'
498|34356|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|5|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||5153,17|5226,34|700,88|'Р'|700,88|'Р'|700,88|'Р'|700,88|'Р'|380,42|'Д'|||||||||509,56|'Д'|558,04|'Д'|665,05|'Д'|4916,59|3,57483|'105/70'|'зависимая'|5|'разгружен'
499|34357|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'безэлеваторная'|'нет'||991,87|1005,95|122,75|'Р'|122,75|'Р'|122,75|'Р'|122,75|'Р'|122,75|'Р'|||||||||114,71|'Р'|114,71|'Р'|103,16|'Д'|946,33|0,4975|'105/70'|'зависимая'|0|'разгружен'
500|34358|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'безэлеваторная'|'нет'||986,4|1000,41|122,93|'Р'|122,93|'Р'|122,93|'Р'|122,93|'Р'|122,93|'Р'|||||||||115|'Р'|115|'Р'|96,47|'Д'|941,12|0,50507|'105/70'|'зависимая'|0|'разгружен'
501|34359|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||4208,16|4267,91|674,12|'Д'|657,97|'Д'|627,57|'Д'|416,43|'Д'|123,5|'Д'|||||||||445,6|'Д'|485,64|'Д'|584,14|'Д'|4014,97|2,88883|'105/70'|'зависимая'|4|'разгружен'
502|34360|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|3|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3064,78|3108,3|544,78|'Д'|416,93|'Д'|459,71|'Д'|303,35|'Д'|100,12|'Д'|||||||||319,12|'Д'|353,13|'Д'|426,94|'Д'|2924,08|2,25468|'105/70'|'зависимая'|3|'разгружен'
503|34361|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'||||||0|||||'нет'|||||||0|0|||||||||||||||||||||||||0|||||
504|34362|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'||||||0|||||'нет'|||||||0|0|||||||||||||||||||||||||0|||||
505|34363|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||208,91|211,88|28,44|'Р'|28,44|'Р'|28,44|'Р'|28,44|'Р'|28,44|'Р'|||||||||27,91|'Р'|27,91|'Р'|27,91|'Р'|225,93|0,10036|'95/70'|'зависимая'|0|'разгружен'
506|34364|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||211,12|214,11|28,74|'Р'|28,74|'Р'|28,74|'Р'|28,74|'Р'|28,74|'Р'|||||||||28,16|'Р'|28,16|'Р'|28,16|'Р'|228,18|0,09233|'95/70'|'зависимая'|0|'разгружен'
507|34365|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|||'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|||||'нет'||||'безэлеваторная'|||194,07|196,83|26,42|'Р'|26,42|'Р'|26,42|'Р'|26,42|'Р'|26,42|'Р'|||||||||25,81|'Р'|25,81|'Р'|25,81|'Р'|209,53|0,09334|'95/70'|'зависимая'|0|'разгружен'
508|34366|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1779,77|1805,04|345,56|'Д'|317,64|'Д'|270,95|'Д'|169,51|'Д'|64,69|'Д'|||||||||142,52|'Д'|167,21|'Д'|219,98|'Д'|1698,06|0,92693|'105/70'|'зависимая'|2|'не разгружен'
509|34367|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||1448,72|1469,29|197,22|'Р'|197,22|'Р'|197,22|'Р'|197,22|'Р'|197,22|'Р'|||||||||188,6|'Р'|188,6|'Р'|188,6|'Р'|1551,9|0,8669|'105/70'|'зависимая'|2|'не разгружен'
510|34368|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|3|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3749,11|3802,35|511,72|'Д'|509,48|'Д'|479,75|'Д'|315,34|'Д'|92,67|'Д'|||||||||339,37|'Д'|366,43|'Д'|430,31|'Д'|3045,07|2,12971|'95/70'|'зависимая'|3|'разгружен'
