'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД), '|||||||||||||||||||||||||||||||||||||
'"находящихся в управлении ООО ""ЖКС №№ 1-4"", ОАО ""РСУ Приморского района"""'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
49|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|123|4||34149|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|12|0|3|177|9254,7|9254,7|9118,3|136,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|4|3|3|2|0|
50|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|123|5||34150|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|12|0|2|118|6235,1|6235,1|6142,7|92,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|4|3|1|1|0|
51|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|125|3||34151|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1992|'Кирпичные'|16|0|1|70|4598,1|4598,1|4213,2|384,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|2|1|1|0|
52|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|125|4||34152|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|17|0|3|252|13008,5|13008,5|12889,6|118,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|3|3|3|0|
53|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|132|2||34153|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1995|'Кирпичные'|17|0|1|82|5150,4|5150,4|4870,8|279,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|3|1|1|0|
54|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|133|2||34154|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1994|'Кирпичные'|'15/17'|0|1|91|5083,4|5083,4|4707,2|376,2|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|0|1|1|0|
55|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|133|3||34155|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|12|0|3|177|9208|9208|9049,9|158,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|3|3|2|0|
56|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|134|1||34156|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1994|'Кирпичные'|17|0|1|87|5097,4|5097,4|4815,5|281,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|0|1|1|0|
57|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|134|2||34157|'ООО ЖКС №1'||'Панельный'|137|1993|'Панельные'|12|0|2|118|6147,8|6147,8|6030,2|117,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|2|3|2|2|0|
58|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|134|3||34158|'ООО ЖКС №1'||'Панельный'|'другое'|1995|'Панельные'|12|0|3|177|9247,9|9247,9|9043|204,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|3|3|0|
