||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
38|'05_000038'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||726,7542|666,15|68,75|'Дср'|68,22|'Дср'|138,6|'Д'|85,99|'Д'|16,75|'Д'|0||0||0||0||79,56|'Д'|78,68|'Д'|108,13|'Д'|644,68|||'зависимая'|1||1
39|'05_000039'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||717,8927|706,94|140,41|'Д'|83,136|'Д'|140,53|'Д'|95,93|'Д'|19,14|'Д'|0||0||0||0||90,54|'Д'|81,49|'Д'|117,48|'Д'|768,66|||'зависимая'|1||1
40|'05_000040'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|2|'открытая'||||'да'|||||||1872,746131|1914,77|224,13|'Дср'|223,266|'Дср'|237,77|'Дср'|222,054|'Дср'|233,1|'Дср'|0||0||0||0||211,06|'Д'|233,93|'Д'|379,13|'Д'|1964,44|||'зависимая'|4||1
41|'05_000041'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||745,2004|700,71|134,1|'Д'|77,628|'Д'|123,73|'Д'|86,32|'Д'|17,06|'Д'|0||0||0||0||83,01|'Д'|79,38|'Д'|111,17|'Д'|712,4|||'зависимая'|1||1
42|'05_000042'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||1075,44512|1152,69|305,18|'Д'|201,09|'Д'|232,37|'Д'|150,34|'Д'|19,83|'Д'|0||0||0||0||151,4|'Д'|141,37|'Д'|197,87|'Д'|1399,45|||'зависимая'|1||1
43|'05_000043'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||1054,82924|952,09|233,86|'Д'|103,42|'Д'|194,63|'Д'|127,77|'Д'|18,6|'Д'|0||0||0||0||113,86|'Д'|119,62|'Д'|167,12|'Д'|1078,88|||'зависимая'|1||1
44|'05_000044'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||760,496811|797,79|150,08|'Д'|82,896|'Д'|135,42|'Д'|102,9|'Д'|21,43|'Д'|0||0||0||0||98,83|'Д'|80,65|'Д'|103,88|'Д'|776,09|||'зависимая'|1||1
45|'05_000045'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||791,3886|800,64|154,51|'Д'|81,888|'Д'|135,23|'Д'|111,23|'Д'|9,92|'Д'|0||0||0||0||90,84|'Д'|84,65|'Д'|115,51|'Д'|783,78|||'зависимая'|1||1
46|'05_000046'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'закрытая'||||'нет'|||||||354,29|501,11|126,94|'Д'|59,47|'Д'|89,72|'Д'|48,7|'Д'|9,39|'Д'|0||0||0||0||56,13|'Д'|32,24|'Д'|73,89|'Д'|496,48|||'зависимая'|1||1
47|'05_000047'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||997,91425|1003,63|226,15|'Д'|110,32|'Д'|180,44|'Д'|141,21|'Д'|22,57|'Д'|0||0||0||0||160,45|'Д'|81,46|'Д'|130,36|'Д'|1052,96|||'зависимая'|1||1
48|'05_000048'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||581,0936|522,82|118,97|'Д'|60,264|'Д'|93,9|'Д'|55,83|'Д'|12,41|'Д'|0||0||0||0||62,81|'Д'|72,27|'Д'|94|'Д'|570,45|||'зависимая'|1||1
49|'05_000049'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||601,8833|463,01|51,68|'Дср'|48,558|'Дср'|50,76|'Дср'|51,576|'Дср'|52,632|'Дср'|0||0||0||0||58,07|'Д'|74,87|'Д'|96,49|'Д'|484,64|||'зависимая'|1||1
50|'05_000050'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||604,6895|600,18|168,83|'Д'|66,84|'Д'|121,75|'Д'|121,93|'Д'|62,24|'Д'|0||0||0||0||65,27|'Д'|64,97|'Д'|97,67|'Д'|769,5|||'зависимая'|1||1
51|'05_000051'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||572,5947|456,94|51,95|'Дср'|45,666|'Дср'|47,874|'Дср'|49,926|'Дср'|48,666|'Дср'|0||0||0||0||63,43|'Д'|61,56|'Д'|107,49|'Д'|476,56|||'зависимая'|1||1
52|'05_000052'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||893,6072|636,64|70,1|'Дср'|68,022|'Дср'|70,632|'Дср'|70,632|'Дср'|72,504|'Дср'|0||0||0||0||129,15|'Д'|96,96|'Д'|150,28|'Д'|728,28|||'зависимая'|1||1
53|'05_000053'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||806,325|668,4|161,92|'Д'|85,8|'Д'|156,07|'Д'|95,03|'Д'|22,69|'Д'|0||0||0||0||90,2|'Д'|89,5|'Д'|118,18|'Д'|819,39|||'зависимая'|1||1
54|'05_000054'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||697,2818|671,36|141,37|'Д'|74,658|'Д'|132,83|'Д'|86,71|'Д'|18,72|'Д'|0||0||0||0||81,44|'Д'|73,9|'Д'|109,13|'Д'|718,76|||'зависимая'|1||1
