1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
62||'Ульянка'|'Ветеранов пр.'|112|'А'||5000062|'орг-ия с гос. участием'||'панельный'|'600 (1-ЛГ-600)'|1969|'панельные'|9|0|7|251|12850.2|12850.2|12821.2||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|7|2|1|1|1|0
63||'Ульянка'|'Ветеранов пр.'|112|'2 А'||5000063|'орг-ия с гос. участием'||'панельный'|'другое'|1969|'панельные'|5|0|4|80|3611.24|3611.24|3564.84||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
64||'Дачное'|'Ветеранов пр.'|3|'2 А'||5000064|'орг-ия с гос. участием'||'панельный'||1974|'панельные'|9|0|5|178|9623.83|9623.83|9286.53|337.3|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|1|1|1|0
65||'Дачное'|'Ветеранов пр.'|3|'3 А'||5000065|'орг-ия с гос. участием'||'панельный'||1974|'панельные'|9|0|5|178|9618.87|9618.87|9296.27|322.6|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|1|1|1|0
66||'Дачное'|'Ветеранов пр.'|3|'1 А'||5000066|'орг-ия с гос. участием'||'панельный'||1974|'панельные'|9|0|2|71|4174.5|4174.5|4025.2|149.3|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|2|1|1|1|0
67||'Дачное'|'Ветеранов пр.'|1|'1 А'||5000067|'орг-ия с гос. участием'||'панельный'||1974|'панельные'|9|0|9|322|17080.65|17080.65|16415.95|664.7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|9|2|2|2|2|0
68||'Дачное'|'Ветеранов пр.'|5|'1 А'||5000068|'орг-ия с гос. участием'||'панельный'||1974|'панельные'|9|0|5|179|9699.4|9699.4|9316.5|382.9|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|1|1|1|0
69||'Ульянка'|'Генерала Симоняка ул.'|1|'А'||5000069|'орг-ия с гос. участием'||'кирпичный'||1969|'кирпичные'|9|0|4|231|11416.81|11416.81|11217.31|199.5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1|2|2|0
70||'Ульянка'|'Генерала Симоняка ул.'|5|'А'||5000070|'орг-ия с гос. участием'||'панельный'|'другое'|1969|'панельные'|5|0|4|80|3668.22|3668.22|3533.22|135|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
71||'Ульянка'|'Генерала Симоняка ул.'|7|'А'||5000071|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1969|'панельные'|9|0|7|251|13258.13|13258.13|12837.33|420.8|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|7|2|1|1|1|0
72||'Ульянка'|'Генерала Симоняка ул.'|11|'А'||5000072|'орг-ия с гос. участием'||'панельный'|'другое'|1969|'панельные'|5|0|4|79|3645.07|3645.07|3501.77|143.3|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
73||'Ульянка'|'Генерала Симоняка ул.'|17|'А'||5000073|'орг-ия с гос. участием'||'кирпичный'||1969|'кирпичные'|9|0|4|231|11267.34|11267.34|11147.34|120|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1|2|2|0
74||'Ульянка'|'Генерала Симоняка ул.'|18|'А'||5000074|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1984|'панельные'|9|0|9|323|16853.6|16853.6|16172.6|681|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|9|2|1|3|3|0
75||'Ульянка'|'Генерала Симоняка ул.'|23|'А'||5000075|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1977|'панельные'|9|0|7|250|13232.9|13232.9|12795.2|437.7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|7|2|1|2|2|0
76||'Ульянка'|'Генерала Симоняка ул.'|25|'А'||5000076|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1977|'панельные'|9|0|11|392|20430.6|20430.6|19672.5|758.1|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|11|4|3|3|3|0
77||'Ульянка'|'Генерала Симоняка ул.'|27|'2 А'||5000077|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1977|'панельные'|9|0|4|143|7775.63|7775.63|7515.23|260.4|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|2|1|1|1|0
78||'Ульянка'|'Генерала Симоняка ул.'|'27/193'|'А'||5000078|'орг-ия с гос. участием'||'панельный'|'1-мг-600'|1977|'панельные'|9|0|9|320|16528.13|16528.13|16390.13|138|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|9|4|2|3|3|0
79||'Дачное'|'Дачный пр.'|3|'1 А'||5000079|'орг-ия с гос. участием'||'панельный'|'другое'|1969|'панельные'|9|0|9|322|16801.53|16801.53|16246.43|555.1|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|9|2|0|2|2|0
80||'Дачное'|'Дачный пр.'|3|'4 А'||5000080|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|9|0|1|54|1956.88|1956.88|1917.28||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|0|1|1|0
81||'Дачное'|'Дачный пр.'|3|'5 А'||5000081|'орг-ия с гос. участием'||'хрущевка'|'другое'|1966|'панельные'|5|0|5|50|2490.46|2490.46|2447.46||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
