1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
69|'Кронштадтский'||'Гражданская ул'|'д. 8'|||'09_000069'|'ЖК'||'индивидуальный'|'индивидуальный'|1900|'кирпичные'|4||1|11|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
70|'Кронштадтский'||'Гражданская ул'|'д. 9'|||'09_000070'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|16|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
71|'Кронштадтский'||'Гусева ул'|'д. 1'|||'09_000071'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||1|6|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
72|'Кронштадтский'||'Гусева ул'|'д. 11'|'Б'||'09_000072'|'ЖК'||'индивидуальный'|'индивидуальный'|1960|'кирпичные'|5||2|40|1596||1596||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
73|'Кронштадтский'||'Гусева ул'|'д. 12'|||'09_000073'|'ЖК'||'индивидуальный'|'индивидуальный'|1962|'кирпичные'|5||4|79|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
74|'Кронштадтский'||'Гусева ул'|'д. 3'|||'09_000074'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|21|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
75|'Кронштадтский'||'Гусева ул'|'д. 4'|||'09_000075'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|9|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
76|'Кронштадтский'||'Гусева ул'|'д. 5'|||'09_000076'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|59|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
77|'Кронштадтский'||'Гусева ул'|'д. 6'|||'09_000077'|'ЖК'|||||'кирпичные'|5||2|40|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
78|'Кронштадтский'||'Гусева ул'|'д. 9/4'|||'09_000078'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||2|40|1803||1583||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
79|'Кронштадтский'||'Зосимова ул'|'д. 11'|'А'||'09_000079'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|2||1|30|||||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'||||||
80|'Кронштадтский'||'Зосимова ул'|'д. 18/15'|||'09_000080'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||5|45|||3185||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
81|'Кронштадтский'||'Зосимова ул'|'д. 2'|||'09_000081'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|7||5|160|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|4|||||
82|'Кронштадтский'||'Зосимова ул'|'д. 22'|1||'09_000082'|'ЖК'||'индивидуальный'|'индивидуальный'|1900|'кирпичные'|3||1|12|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
83|'Кронштадтский'||'Зосимова ул'|'д. 22'|2||'09_000083'|'ЖК'||'индивидуальный'|'индивидуальный'|1900|'кирпичные'|3||1|12|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
84|'Кронштадтский'||'Зосимова ул'|'д. 28/30'|||'09_000084'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||3|14|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
85|'Кронштадтский'||'Зосимова ул'|'д. 34'|||'09_000085'|'ЖК'|||||'кирпичные'|5||4|80|3838||3442||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
86|'Кронштадтский'||'Зосимова ул'|'д. 4'|||'09_000086'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|8||7|226|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|6|||||
87|'Кронштадтский'||'Зосимова ул'|'д. 42/23'|'А'||'09_000087'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||7|142|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
88|'Кронштадтский'||'Зосимова ул'|'д. 5'|'А'||'09_000088'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||2|38|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
89|'Кронштадтский'||'Зосимова ул'|'д. 6/40'|'А'||'09_000089'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||5|120|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
90|'Кронштадтский'||'Зосимова ул'|'д. 7'|'А'||'09_000090'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|6||3|73|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|3|||||
91|'Кронштадтский'||'Зосимова ул'|'д. 9'|'А'||'09_000091'|'ЖК'||'индивидуальный'|'индивидуальный'|1971|'кирпичные'|5||7|133|6212||6212||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
92|'Кронштадтский'||'Интернациональная ул'|'д. 6'|'А'||'09_000092'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||3|14|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
93|'Кронштадтский'||'Интернациональная ул'|'д. 7/22'|||'09_000093'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|2||3|12|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
