|||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
|||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1||2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
60|'Гусева ул'|'д. 6'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||300,16||||||||||||||||||||||||||||||
61|'Гусева ул'|'д. 9/4'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||283,02||||||||||||||||||||||||||||||
62|'Зосимова ул'|'д. 11, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||435,07||||||||||||||||||||||||||||||
63|'Зосимова ул'|'д. 18/15'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||492,25||||||||||||||||||||||||||||||
64|'Зосимова ул'|'д. 2'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1567,81||||||||||||||||||||||||||||||
65|'Зосимова ул'|'д. 28/30'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||134,09||||||||||||||||||||||||||||||
66|'Зосимова ул'|'д. 34'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||661,29||||||||||||||||||||||||||||||
67|'Зосимова ул'|'д. 4'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||2025,38||||||||||||||||||||||||||||||
68|'Зосимова ул'|'д. 42/23, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1194,23||||||||||||||||||||||||||||||
69|'Зосимова ул'|'д. 5, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||183,05||||||||||||||||||||||||||||||
70|'Зосимова ул'|'д. 6/40, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||973,78||||||||||||||||||||||||||||||
71|'Зосимова ул'|'д. 7, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||203,45||||||||||||||||||||||||||||||
72|'Зосимова ул'|'д. 9, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1122,89||||||||||||||||||||||||||||||
73|'Интернациональная ул'|'д. 6, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||245,55||||||||||||||||||||||||||||||
74|'Интернациональная ул'|'д. 7/22'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||218,19||||||||||||||||||||||||||||||
75|'Карла Либкнехта ул'|'д. 15а'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||545,65||||||||||||||||||||||||||||||
76|'Карла Либкнехта ул'|'д. 15б, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||432,1||||||||||||||||||||||||||||||
77|'Карла Либкнехта ул'|'д. 17, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||826,49||||||||||||||||||||||||||||||
78|'Карла Либкнехта ул'|'д. 24, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||480,68||||||||||||||||||||||||||||||
79|'Карла Либкнехта ул'|'д. 25'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||279,32||||||||||||||||||||||||||||||
80|'Карла Либкнехта ул'|'д. 27, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||296,75||||||||||||||||||||||||||||||
81|'Карла Либкнехта ул'|'д. 29, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||211,85||||||||||||||||||||||||||||||
82|'Карла Либкнехта ул'|'д. 30'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||516,82||||||||||||||||||||||||||||||
83|'Карла Маркса ул'|'д. 12'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||775,41||||||||||||||||||||||||||||||
84|'Карла Маркса ул'|'д. 13, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||268,01||||||||||||||||||||||||||||||
85|'Карла Маркса ул'|'д. 17'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||399,98||||||||||||||||||||||||||||||
86|'Карла Маркса ул'|'д. 21'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||233,06||||||||||||||||||||||||||||||
87|'Карла Маркса ул'|'д. 25'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||222,03||||||||||||||||||||||||||||||
88|'Коммунистическая ул'|'д. 3, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||231,98||||||||||||||||||||||||||||||
89|'Коммунистическая ул'|'д. 4/18, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||568,69||||||||||||||||||||||||||||||
90|'Коммунистическая ул'|'д. 6/21, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||834,06||||||||||||||||||||||||||||||
91|'Комсомола ул'|'д. 1/16'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||483,98||||||||||||||||||||||||||||||
92|'Комсомола ул'|'д. 15'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||137,94||||||||||||||||||||||||||||||
93|'Комсомола ул'|'д. 17'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||138,06||||||||||||||||||||||||||||||
94|'Комсомола ул'|'д. 3/2'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||615,18||||||||||||||||||||||||||||||
95|'Красная ул'|'д. 11, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||396,57||||||||||||||||||||||||||||||
96|'Красная ул'|'д. 13'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||151,16||||||||||||||||||||||||||||||
97|'Красная ул'|'д. 15'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||327||||||||||||||||||||||||||||||
98|'Красная ул'|'д. 2, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||407,2||||||||||||||||||||||||||||||
99|'Красная ул'|'д. 5, лит. В'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||124,63||||||||||||||||||||||||||||||
100|'Красная ул'|'д. 8, корп. 2, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||251,4||||||||||||||||||||||||||||||
101|'Красная ул'|'д. 8, корп. 3, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||185,57||||||||||||||||||||||||||||||
102|'Красная ул'|'д. 9, лит. Д'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||109,4||||||||||||||||||||||||||||||
103|'Кронштадтская ул'|'д. 1/66, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||210,5||||||||||||||||||||||||||||||
104|'Кронштадтская ул'|'д. 17'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||259,09||||||||||||||||||||||||||||||
105|'Кронштадтская ул'|'д. 3, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||459||||||||||||||||||||||||||||||
106|'Кронштадтское ш'|'д. 10, корп. 1'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||643,97||||||||||||||||||||||||||||||
107|'Кронштадтское ш'|'д. 10, корп. 2'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||645,48||||||||||||||||||||||||||||||
108|'Кронштадтское ш'|'д. 10, корп. 3'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||683,83||||||||||||||||||||||||||||||
109|'Кронштадтское ш'|'д. 12'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||428,55||||||||||||||||||||||||||||||
110|'Кронштадтское ш'|'д. 28, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||644,14||||||||||||||||||||||||||||||
111|'Кронштадтское ш'|'д. 34'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1319,38||||||||||||||||||||||||||||||
112|'Кронштадтское ш'|'д. 36'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1913,28||||||||||||||||||||||||||||||
113|'Кронштадтское ш'|'д. 38'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||1747,57||||||||||||||||||||||||||||||
114|'Кронштадтское ш'|'д. 6, корп. 1, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||643,4||||||||||||||||||||||||||||||
115|'Кронштадтское ш'|'д. 6, корп. 2'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||661,92||||||||||||||||||||||||||||||
116|'Кронштадтское ш'|'д. 8'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||702,82||||||||||||||||||||||||||||||
117|'Лебедева ул'|'д. 3, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||382,71||||||||||||||||||||||||||||||
118|'Лебедева ул'|'д. 5'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||376,87||||||||||||||||||||||||||||||
119|'Ленина пр-кт'|'д. 1'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||735,86||||||||||||||||||||||||||||||
120|'Ленина пр-кт'|'д. 16, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||875,97||||||||||||||||||||||||||||||
121|'Ленина пр-кт'|'д. 21/2'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||369,85||||||||||||||||||||||||||||||
122|'Ленина пр-кт'|'д. 22'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||279,81||||||||||||||||||||||||||||||
123|'Ленина пр-кт'|'д. 24'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||361,48||||||||||||||||||||||||||||||
124|'Ленина пр-кт'|'д. 25/2, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||566,75||||||||||||||||||||||||||||||
