||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
193|'16_0193'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'да'|||||||||5,3244||5,3244||5,3244||5,3232||1,53||0||0||0||0||5,428||5,3319||5,4146||39,0009|'0.03020'||||
194|'16_0194'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||80,1||65,64||55,1526||55,13||29,74||0||0||0||0||21,38||23,77||32,56||363,4726|0,0154||||
195|'16_0195'|'"ОАО ""РЭУ"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||50,68||50,68||50,68||50,68||||0||0||0||0||49,186||49,186||49,186||350,278|'0.13300'||||
196|'16_0196'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||143,244||136,67||134,88||79,46||39,24||0||0||0||0||73,28||73,91||121,9322||802,6162|'0.40980'||||
197|'16_0197'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
198|'16_0198'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||31,8||29,89||29,76||15,6||8,03||0||0||0||0||16,8||18,37||27,28||177,53|'0.08700'||||
199|'16_0199'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||15,5752||15,7838||15,1474||15,455||4,58||0||0||0||0||13,9826||13,9826||13,9826||108,4892|'0.08600'||||
200|'16_0200'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||30,579||28,3464||29,7824||24,7066||6,94||0||0||0||0||23,1164||23,009||25,4476||191,9274|'0.09110'||||
201|'16_0201'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||70,7083||70,45||68,36||41,7||16,55||0||0||0||0||32,13||39,04||56,68||395,6183|'0.2210'||||
202|'16_0202'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||69,2449||67,25||67,21||42,4||22,25||0||0||0||0||40,8723||40,8252||41,8945||391,9469|'0.12629'||||
203|'16_0203'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||150,29||152,05||148,89||88,65||35,07||0||0||0||0||65,77||80,77||126,09||847,58|'0.28000'||||
204|'16_0204'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||73,81||74,26||72,89||44,24||17,43||0||0||0||0||34,01||39,83||59,01||415,48|'0.14900'||||
205|'16_0205'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||142,42||169,1971||94,8545||96,041||28,48||0||0||0||0||96,7555||96,7555||96,7555||821,2591|'0.28900'||||
206|'16_0206'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||59,7978||59,7978||57,8287||58,552||17,36||0||0||0||0||59,4558||59,4558||58,9097||431,1576|'0.17200'||||
207|'16_0207'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||16,2||15,98||16,75||10,26||3,98||0||0||0||0||7,7||9,43||13,86||94,16|'0.05000'||||
208|'16_0208'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||96,0623||58,38||82,05||49,22||17,76||0||0||0||0||39,8||47,95||68,93||460,1523|'0.18300'||||
209|'16_0209'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||69,83||69,71||67,93||40,6||16,28||0||0||0||0||32,97||38,62||54,94||390,88|'0.16600'||||
210|'16_0210'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||98,36||54,08||77,23||48||19,26||0||0||0||0||38,05||45,66||60,61||441,25|'0.18300'||||
211|'16_0211'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||58,7914||58,7914||56,8554||56,8861||17,07||0||0||0||0||57,7825||57,7825||57,2518||421,2111|'0.17200'||||
212|'16_0212'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||82,4787||79,9776||78,4778||75,2119||21,91||0||0||0||0||72,6678||72,5586||74,1466||557,429|'0.23700'||||
213|'16_0213'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||19,3682||19,3682||18,7304||18,9647||5,62||0||0||0||0||19,68||19,68||19,68||141,0915|'0.06400'||||
214|'16_0214'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||2,9357||2,9357||2,8391||2,8746||0,85||0||0||0||0||2,8265||2,8265||2,8265||20,9146|'0.02900'||||
215|'16_0215'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||26,69||23,02||22,3||14,81||5,99||0||0||0||0||11,26||13,04||15,85||132,96|'0.06300'||||
216|'16_0216'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||14,6724||14,6724||14,6724||14,6724||4,22||0||0||0||0||14,7162||14,7162||14,7162||107,0582|'0.07000'||||
217|'16_0217'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||33,2446||33,2446||33,2446||33,2446||9,56||0||0||0||0||32,3982||32,3982||32,3982||239,733|'0.13800'||||
218|'16_0218'|'"ООО""Троя"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||22,42||22,42||22,42||22,42||||0||0||0||0||18,981||18,981||18,981||146,623|0,0246||||
219|'16_0219'|'"ООО""Троя"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||47,12||47,12||47,12||47,12||||0||0||0||0||38,455||38,455||38,455||303,845|'0.15600'||||
220|'16_0220'|'"ООО""Троя"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||47,51||47,51||47,51||47,51||||0||0||0||0||39,633||39,633||39,633||308,939|'0.15200'||||
221|'16_0221'|'"ООО""Троя"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||47,74||47,74||47,74||47,74||||0||0||0||0||42,661||42,661||42,661||318,943|'0.16000'||||
222|'16_0222'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||34,2426||34,2426||34,2426||34,2426||9,94||0||0||0||0||33,3792||33,3792||33,3792||247,048|'0.15200'||||
223|'16_0223'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||246,26||229,88||224,51||174,26||154,99||0||0||0||0||164,0567||164,0567||164,0567||1522,0701|'0.66000'||||
224|'16_0224'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||33,0925||33,0925||33,0925||33,0925||9,52||0||0||0||0||31,578||31,578||31,578||236,624|'0.10200'||||
225|'16_0225'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'нет'|||||||||133,47||102,01||92,44||66,51||23,11||0||0||0||0||55,6||67,78||94,26||635,18|'0.28800'||||
226|'16_0226'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||22,3674||22,3647||22,3647||23,3647||6,43||0||0||0||0||22,2529||22,2529||22,2529||163,6502|'0.11200'||||
227|'16_0227'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|1|||||'да'|||||||||52,95||45,22||38,7679||25,59||19,31||0||0||0||0||15,1522||4,6111||32,3619||233,9631|'0.17330'||||
228|'16_0228'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'|3|||||'да'|||||||||200,01||191,83||198,4549||155,31||116,94||0||0||0||0||124,84||165,97||142,01||1295,3649|'0.82500'||||
